Player,Position,General_Position,Games_Played,Games_Started,Games_Missed,Minutes,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,REB,AST,STL,BLK,TOV,PTS,Season
Precious Achiuwa,PF,F,46,2,3,12.7,2.1,3.8,0.56,0.0,0.0,0.0,1.0,2.0,0.5,3.6,0.5,0.3,0.5,0.8,5.3,2020-2021
Jaylen Adams,PG,G,7,0,29,2.59,0.1,1.1,0.125,0.0,0.3,0.0,0.0,0.0,0.0,0.4,0.3,0.0,0.0,0.0,0.3,2020-2021
Steven Adams,C,C,44,44,3,28.32,3.4,5.5,0.627,0.0,0.1,0.0,1.0,2.2,0.455,8.9,2.0,0.9,0.7,1.5,7.9,2020-2021
Bam Adebayo,C,C,43,43,6,33.7,7.2,12.8,0.558,0.0,0.2,0.286,4.9,5.9,0.834,9.5,5.3,0.9,1.2,2.7,19.3,2020-2021
LaMarcus Aldridge,C,C,22,19,22,26.08,5.4,11.7,0.461,1.3,3.5,0.368,1.5,1.8,0.846,4.7,1.9,0.5,0.9,0.9,13.6,2020-2021
Ty-Shon Alexander,SG,G,4,0,43,2.43,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,2020-2021
Nickeil Alexander-Walker,SG,G,39,9,8,20.52,3.9,9.2,0.427,1.6,4.6,0.354,0.9,1.2,0.756,3.1,2.0,0.9,0.5,1.4,10.3,2020-2021
Grayson Allen,SG,G,32,20,13,24.22,3.2,7.6,0.418,2.0,5.0,0.406,1.4,1.6,0.902,3.2,2.1,1.0,0.2,0.9,9.8,2020-2021
Jarrett Allen,C,C,44,26,5,28.66,4.8,7.5,0.633,0.1,0.3,0.417,3.5,4.9,0.704,9.9,1.7,0.5,1.7,1.5,13.1,2020-2021
Al-Farouq Aminu,PF,F,18,14,29,21.06,2.0,5.0,0.4,0.4,1.8,0.219,0.9,1.1,0.842,5.3,1.6,0.9,0.5,1.5,5.3,2020-2021
Kyle Anderson,PF,F,43,43,2,27.2,4.6,9.7,0.48,1.3,3.7,0.356,1.9,2.6,0.755,5.7,3.3,1.1,0.7,1.4,12.5,2020-2021
Giannis Antetokounmpo,PF,F,44,44,3,34.0,10.2,18.4,0.557,1.2,3.8,0.307,6.7,9.9,0.682,11.3,6.2,1.1,1.3,3.8,28.3,2020-2021
Kostas Antetokounmpo,PF,F,7,0,41,4.06,0.3,0.7,0.4,0.0,0.0,0.0,0.3,0.6,0.5,1.4,0.0,0.3,0.4,0.9,0.9,2020-2021
Thanasis Antetokounmpo,SF,F,35,1,12,9.91,1.4,2.5,0.562,0.2,0.5,0.368,0.3,0.7,0.462,2.2,0.8,0.4,0.2,0.8,3.4,2020-2021
Carmelo Anthony,PF,F,46,3,1,25.88,5.0,11.8,0.418,1.7,4.6,0.381,2.3,2.6,0.867,3.3,1.7,0.8,0.7,1.1,13.9,2020-2021
Cole Anthony,PG,G,25,17,23,26.68,4.0,10.8,0.375,1.1,3.3,0.325,1.8,2.2,0.836,4.4,3.8,0.7,0.4,2.0,11.0,2020-2021
OG Anunoby,SF,F,30,30,18,33.55,5.3,11.1,0.479,2.4,5.9,0.403,1.8,2.4,0.761,6.1,1.9,1.7,0.8,1.8,14.8,2020-2021
Ryan Arcidiacono,PG,G,29,0,17,11.33,1.1,3.0,0.384,0.6,1.7,0.32,0.4,0.6,0.75,1.6,1.4,0.2,0.0,0.2,3.2,2020-2021
Trevor Ariza,SF,F,8,5,41,23.57,2.1,7.0,0.304,0.9,3.8,0.233,1.0,1.4,0.727,4.4,1.5,0.6,0.9,0.5,6.1,2020-2021
D.J. Augustin,PG,G,44,6,4,19.47,2.2,5.5,0.394,1.4,3.5,0.385,1.1,1.2,0.909,1.6,3.2,0.5,0.0,1.0,6.8,2020-2021
Deni Avdija,SF,F,43,21,4,22.58,2.4,5.7,0.424,1.0,3.1,0.323,0.4,0.7,0.613,4.8,1.2,0.6,0.2,0.7,6.2,2020-2021
Deandre Ayton,C,C,47,47,0,30.57,6.3,10.3,0.608,0.1,0.4,0.235,2.0,2.6,0.764,10.9,1.5,0.4,1.1,1.7,14.6,2020-2021
Udoka Azubuike,C,C,12,0,35,4.08,0.3,0.6,0.571,0.0,0.0,0.0,0.3,0.5,0.667,1.1,0.0,0.1,0.3,0.2,1.0,2020-2021
Dwayne Bacon,SG,G,48,30,0,25.34,3.8,9.5,0.402,1.0,3.0,0.326,1.8,2.1,0.843,3.0,1.2,0.5,0.1,0.7,10.4,2020-2021
Marvin Bagley III,PF,F,37,37,11,25.71,5.6,11.2,0.502,0.9,2.6,0.354,1.6,2.9,0.56,7.4,0.9,0.5,0.5,1.3,13.9,2020-2021
LaMelo Ball,PG,G,41,21,6,28.63,5.8,12.8,0.451,2.0,5.3,0.375,2.4,3.0,0.789,5.9,6.1,1.6,0.3,2.8,15.9,2020-2021
Lonzo Ball,PG,G,38,38,9,31.71,5.2,12.1,0.425,3.0,7.8,0.385,0.9,1.1,0.767,4.2,5.6,1.3,0.6,2.0,14.2,2020-2021
Mo Bamba,C,C,26,0,22,11.48,2.3,4.9,0.469,0.5,1.7,0.289,0.5,0.8,0.591,4.2,0.4,0.2,1.0,0.5,5.6,2020-2021
Desmond Bane,SG,G,41,11,4,22.62,3.5,7.4,0.48,1.7,3.8,0.455,0.6,0.8,0.839,3.0,1.4,0.7,0.1,1.0,9.4,2020-2021
Harrison Barnes,PF,F,45,45,3,35.91,5.2,10.8,0.484,1.5,4.1,0.362,3.5,4.3,0.823,6.7,3.6,0.7,0.2,1.5,15.5,2020-2021
RJ Barrett,SG,G,48,48,0,34.19,6.6,14.9,0.444,1.2,3.5,0.343,3.0,4.1,0.729,6.1,3.1,0.7,0.2,2.0,17.5,2020-2021
Will Barton,SF,F,45,41,3,31.04,4.7,10.9,0.429,1.7,4.6,0.374,1.4,1.8,0.747,4.1,3.1,0.9,0.5,1.6,12.4,2020-2021
Keita Bates-Diop,SF,F,16,0,30,7.38,0.7,2.0,0.344,0.3,0.9,0.333,0.4,0.6,0.7,1.2,0.4,0.4,0.1,0.1,2.1,2020-2021
Nicolas Batum,SF,F,47,38,3,28.81,2.9,6.3,0.458,1.8,4.3,0.423,0.8,1.0,0.848,4.9,2.4,1.1,0.4,0.8,8.4,2020-2021
Aron Baynes,C,C,45,31,3,18.34,2.4,5.7,0.42,0.4,1.9,0.235,0.6,0.8,0.735,5.0,0.9,0.3,0.4,0.8,5.8,2020-2021
Kent Bazemore,SF,F,46,1,2,16.39,2.2,4.8,0.457,0.9,2.3,0.393,0.7,1.0,0.696,2.9,1.5,0.8,0.5,1.1,6.0,2020-2021
Darius Bazley,PF,F,36,36,11,30.68,4.4,11.2,0.392,1.5,5.2,0.29,1.6,2.2,0.704,7.5,1.5,0.5,0.6,1.8,11.9,2020-2021
Bradley Beal,SG,G,41,41,6,35.47,11.0,22.6,0.485,2.2,6.5,0.338,7.2,8.0,0.902,5.0,4.8,1.2,0.4,3.3,31.3,2020-2021
Malik Beasley,SG,G,36,35,12,32.93,7.3,16.3,0.446,3.5,8.8,0.402,1.9,2.2,0.85,4.4,2.4,0.8,0.2,1.7,20.0,2020-2021
