Player,Position,General_Position,Games_Played,Games_Started,Games_Missed,Minutes,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,REB,AST,STL,BLK,TOV,PTS,Season
Bruce Brown,PG,G,56,32,4,22.56,3.6,6.6,0.546,0.3,1.0,0.291,1.4,1.9,0.731,5.3,1.6,0.9,0.4,0.9,8.9,2020-2021
Jaylen Brown,SG,G,53,53,7,34.17,9.3,18.8,0.496,2.7,6.8,0.404,3.2,4.2,0.754,5.8,3.4,1.2,0.5,2.7,24.5,2020-2021
Moses Brown,C,C,31,20,29,20.27,3.3,6.0,0.543,0.0,0.0,0.0,1.9,3.0,0.628,8.3,0.2,0.6,1.1,1.0,8.4,2020-2021
Sterling Brown,SG,G,51,14,9,24.09,2.9,6.5,0.449,1.8,4.2,0.423,0.5,0.6,0.806,4.4,1.4,0.7,0.2,0.8,8.2,2020-2021
Troy Brown Jr.,SF,F,34,0,25,15.39,1.8,4.2,0.431,0.6,2.1,0.314,0.4,0.6,0.714,3.1,0.9,0.3,0.2,0.6,4.7,2020-2021
Jalen Brunson,PG,G,54,11,4,25.55,4.9,9.1,0.53,1.2,3.0,0.391,1.9,2.4,0.78,3.6,3.5,0.5,0.0,1.3,12.8,2020-2021
Thomas Bryant,C,C,10,10,49,27.08,5.9,9.1,0.648,0.9,2.1,0.429,1.6,2.4,0.667,6.1,1.5,0.4,0.8,1.1,14.3,2020-2021
Reggie Bullock,SF,F,53,52,7,28.69,3.6,8.3,0.436,2.4,5.8,0.406,0.6,0.7,0.892,3.4,1.5,0.8,0.2,0.7,10.2,2020-2021
Trey Burke,PG,G,49,0,9,14.29,2.4,5.4,0.444,1.0,2.7,0.362,0.7,0.8,0.85,0.9,1.3,0.6,0.1,0.5,6.5,2020-2021
Alec Burks,SG,G,44,5,16,25.77,4.2,10.1,0.414,2.0,5.0,0.408,2.2,2.5,0.865,4.5,2.2,0.7,0.3,1.0,12.6,2020-2021
Jimmy Butler,SF,F,43,43,17,33.83,7.1,14.3,0.494,0.4,2.0,0.221,6.7,7.8,0.858,7.0,7.3,2.1,0.4,2.2,21.3,2020-2021
Bruno Caboclo,PF,F,6,0,3,6.07,1.3,2.8,0.471,0.0,0.8,0.0,0.2,0.3,0.5,2.3,0.2,0.0,0.3,0.7,2.8,2020-2021
Devontae Cacok,PF,F,17,1,42,5.17,1.0,1.6,0.63,0.0,0.0,0.0,0.2,0.5,0.444,1.7,0.1,0.3,0.2,0.3,2.2,2020-2021
Kentavious Caldwell-Pope,SG,G,55,55,4,27.42,3.3,7.6,0.433,1.8,4.3,0.424,1.3,1.5,0.857,2.7,1.6,0.8,0.3,1.0,9.7,2020-2021
Facundo Campazzo,PG,G,53,7,6,19.68,1.6,4.3,0.379,1.2,3.1,0.377,0.9,1.0,0.836,1.6,2.9,1.0,0.2,1.0,5.3,2020-2021
Vlatko Cancar,PF,F,32,0,27,5.5,0.5,1.3,0.415,0.2,0.7,0.238,0.2,0.2,0.875,1.1,0.3,0.3,0.1,0.4,1.4,2020-2021
Devin Cannady,PG,G,7,0,1,10.49,1.6,4.0,0.393,0.9,2.3,0.375,0.9,1.0,0.857,0.7,0.1,0.7,0.1,0.3,4.9,2020-2021
Clint Capela,C,C,52,52,8,30.51,6.8,11.3,0.604,0.0,0.0,0.0,2.1,3.7,0.579,14.7,0.8,0.7,2.2,1.2,15.7,2020-2021
Vernon Carey Jr.,C,C,14,4,45,6.66,1.0,2.0,0.5,0.1,0.5,0.143,0.6,0.6,0.889,1.5,0.1,0.1,0.2,0.4,2.6,2020-2021
Jevon Carter,PG,G,47,0,12,11.14,1.4,3.4,0.424,0.9,2.4,0.375,0.0,0.1,0.5,1.5,1.1,0.4,0.2,0.2,3.8,2020-2021
Wendell Carter Jr.,C,C,45,35,13,25.7,4.5,8.4,0.534,0.3,0.9,0.333,2.6,3.6,0.731,8.1,2.0,0.7,0.8,1.5,11.9,2020-2021
Michael Carter-Williams,SG,G,31,25,28,25.79,3.4,8.7,0.389,0.5,2.0,0.246,1.6,2.6,0.612,4.5,4.2,0.8,0.5,2.2,8.8,2020-2021
Alex Caruso,PG,G,49,0,10,20.47,2.1,4.8,0.43,0.9,2.3,0.411,0.7,1.1,0.655,2.9,2.5,1.1,0.2,1.2,5.8,2020-2021
Willie Cauley-Stein,C,C,39,11,19,16.88,2.2,3.6,0.621,0.0,0.2,0.111,1.0,1.6,0.656,4.3,0.7,0.3,0.8,0.4,5.5,2020-2021
Chris Chiozza,PG,G,22,1,38,10.56,1.4,4.0,0.352,0.6,1.9,0.31,0.6,0.8,0.765,1.1,3.0,0.3,0.3,0.7,4.0,2020-2021
Marquese Chriss,PF,F,2,0,44,13.36,2.5,7.0,0.357,0.5,2.5,0.2,1.0,2.0,0.5,6.5,1.0,0.0,1.0,1.0,6.5,2020-2021
Gary Clark,SF,F,37,11,14,17.32,1.1,3.5,0.305,0.8,2.9,0.287,0.2,0.3,0.8,3.1,0.8,0.3,0.2,0.5,3.2,2020-2021
Brandon Clarke,PF,F,48,16,10,25.15,4.6,8.8,0.519,0.4,1.3,0.297,1.3,1.9,0.667,5.5,1.7,1.0,0.8,0.6,10.9,2020-2021
Jordan Clarkson,SG,G,55,1,4,25.98,6.4,15.1,0.424,3.0,8.7,0.35,1.7,1.8,0.949,4.0,2.1,0.9,0.1,1.7,17.5,2020-2021
Nicolas Claxton,C,C,25,1,35,18.49,2.8,4.8,0.583,0.0,0.2,0.2,0.9,1.8,0.5,5.0,1.1,0.8,1.2,0.6,6.6,2020-2021
Amir Coffey,SG,G,42,1,20,8.83,1.0,2.2,0.436,0.5,1.2,0.412,0.6,0.9,0.694,1.0,0.5,0.2,0.0,0.3,3.0,2020-2021
John Collins,PF,F,51,51,9,29.97,7.0,12.7,0.548,1.2,3.3,0.377,2.7,3.2,0.835,7.7,1.4,0.5,1.0,1.3,17.9,2020-2021
Mike Conley,PG,G,47,47,12,29.73,5.6,12.5,0.447,2.7,6.6,0.412,2.3,2.7,0.857,3.3,5.9,1.3,0.2,1.9,16.2,2020-2021
Pat Connaughton,SG,G,55,3,3,23.11,2.6,5.7,0.45,1.5,3.9,0.391,0.5,0.6,0.735,4.9,1.2,0.7,0.3,0.5,7.1,2020-2021
Quinn Cook,PG,G,23,0,20,6.84,1.3,3.0,0.426,0.5,1.1,0.423,0.3,0.3,0.875,0.7,0.8,0.2,0.0,0.3,3.3,2020-2021
Tyler Cook,SF,F,21,1,3,12.0,1.6,2.6,0.6,0.0,0.0,0.0,0.4,0.9,0.474,2.7,0.5,0.2,0.0,0.8,3.6,2020-2021
DeMarcus Cousins,C,C,33,11,7,18.12,3.0,7.6,0.394,1.3,3.8,0.347,1.5,2.2,0.694,6.9,2.1,0.7,0.6,1.7,8.8,2020-2021
Robert Covington,PF,F,57,57,2,32.08,3.1,7.4,0.414,2.0,5.1,0.386,0.7,0.9,0.824,6.6,1.7,1.5,1.2,1.1,8.9,2020-2021
Torrey Craig,SF,F,37,0,24,13.76,1.8,3.7,0.478,0.6,1.8,0.369,0.2,0.3,0.6,3.4,0.9,0.6,0.4,0.5,4.4,2020-2021
Jae Crowder,PF,F,55,39,4,27.41,3.3,8.1,0.401,2.4,6.2,0.381,0.9,1.2,0.761,4.8,2.1,0.8,0.4,0.9,9.8,2020-2021
Jarrett Culver,SG,G,34,7,26,14.68,2.0,4.9,0.411,0.4,1.6,0.245,0.9,1.4,0.604,3.1,0.7,0.5,0.3,0.8,5.3,2020-2021
Seth Curry,SG,G,46,46,13,28.96,4.4,9.8,0.447,2.0,4.8,0.418,1.3,1.4,0.894,2.1,2.8,0.8,0.2,1.2,12.1,2020-2021
Stephen Curry,PG,G,52,52,8,34.05,10.2,20.9,0.489,5.1,12.0,0.425,5.6,6.0,0.924,5.6,5.8,1.2,0.1,3.3,31.2,2020-2021
Nate Darling,SG,G,6,0,53,4.03,0.3,1.2,0.286,0.3,1.2,0.286,0.5,0.5,1.0,0.2,0.2,0.0,0.2,0.2,1.5,2020-2021
Anthony Davis,PF,F,24,24,35,32.15,8.6,16.4,0.524,0.7,2.5,0.288,3.9,5.5,0.705,8.2,3.0,1.3,1.8,1.9,21.8,2020-2021
Ed Davis,C,C,22,7,38,13.3,0.9,2.0,0.432,0.0,0.0,0.0,0.5,0.5,0.833,5.1,1.0,0.6,0.6,0.3,2.2,2020-2021
Terence Davis,SG,G,48,4,10,15.46,2.7,6.4,0.42,1.4,3.8,0.363,0.5,0.6,0.828,2.0,1.1,0.6,0.2,0.9,7.2,2020-2021
Dewayne Dedmon,C,C,5,0,4,13.37,2.8,4.2,0.667,0.0,0.6,0.0,1.8,2.0,0.9,5.4,0.4,0.8,0.8,1.0,7.4,2020-2021
Matthew Dellavedova,PG,G,12,1,0,17.2,1.0,4.2,0.235,0.2,1.8,0.136,0.3,0.3,1.0,1.9,4.8,0.3,0.0,0.5,2.6,2020-2021
DeMar DeRozan,PF,F,49,49,9,33.9,7.3,14.8,0.492,0.4,1.4,0.269,6.1,6.9,0.879,4.4,7.1,0.9,0.3,1.9,21.0,2020-2021
Mamadi Diakite,PF,F,11,0,47,8.62,0.9,2.5,0.37,0.1,0.6,0.143,0.5,0.5,1.0,2.3,0.5,0.3,0.5,0.3,2.5,2020-2021
Hamidou Diallo,SG,G,45,5,16,22.75,4.1,8.7,0.469,0.4,1.3,0.333,2.4,3.7,0.639,4.8,2.0,0.8,0.4,1.4,10.9,2020-2021
Gorgui Dieng,C,C,28,1,28,15.09,2.1,4.2,0.508,0.9,1.9,0.453,1.5,1.8,0.86,3.9,1.2,0.7,0.5,0.9,6.7,2020-2021
Spencer Dinwiddie,SG,G,3,3,57,21.44,2.0,5.3,0.375,0.7,2.3,0.286,2.0,2.0,1.0,4.3,3.0,0.7,0.3,1.7,6.7,2020-2021
Donte DiVincenzo,SG,G,54,54,4,27.5,3.9,9.3,0.414,2.0,5.2,0.379,0.8,1.0,0.732,5.6,3.2,1.1,0.2,1.4,10.4,2020-2021
Luka Doncic,PG,G,53,53,5,35.08,10.2,21.0,0.484,3.0,8.4,0.359,5.4,7.4,0.726,8.0,8.7,1.0,0.6,4.3,28.7,2020-2021
Luguentz Dort,SG,G,46,46,14,29.7,4.8,12.0,0.402,2.1,6.2,0.346,2.2,3.0,0.741,3.7,1.6,1.0,0.4,1.5,14.0,2020-2021
Damyean Dotson,SG,G,35,6,24,18.8,2.5,6.3,0.394,0.9,3.3,0.278,0.6,0.9,0.688,2.0,2.1,0.4,0.1,0.8,6.5,2020-2021
Devon Dotson,PG,G,6,0,53,3.62,0.5,1.2,0.429,0.0,0.2,0.0,0.0,0.0,0.0,0.5,0.3,0.2,0.0,0.0,1.0,2020-2021
Sekou Doumbouya,PF,F,47,4,13,13.33,1.4,4.2,0.347,0.5,1.9,0.25,0.7,0.9,0.738,2.1,0.7,0.4,0.1,0.7,4.0,2020-2021
PJ Dozier,SG,G,44,0,15,20.89,2.7,6.6,0.41,0.9,2.8,0.322,0.9,1.4,0.639,3.7,1.8,0.7,0.4,0.9,7.2,2020-2021
Goran Dragic,PG,G,40,10,20,26.26,4.6,10.6,0.436,1.6,4.6,0.355,2.1,2.6,0.814,3.5,4.4,0.6,0.2,2.5,13.0,2020-2021
Andre Drummond,C,C,33,33,23,28.0,6.5,13.8,0.473,0.0,0.2,0.0,3.0,4.9,0.617,12.7,2.4,1.6,1.1,3.1,16.1,2020-2021
Jared Dudley,PF,F,11,0,48,6.92,0.2,0.6,0.286,0.2,0.5,0.4,0.0,0.0,0.0,1.7,0.5,0.1,0.1,0.2,0.5,2020-2021
Kevin Durant,PF,F,24,22,36,32.66,9.3,17.1,0.543,2.5,5.5,0.462,6.1,7.0,0.87,6.7,5.2,0.6,1.3,3.7,27.2,2020-2021
Anthony Edwards,SG,G,60,43,0,31.34,6.6,16.5,0.4,2.3,7.0,0.322,2.8,3.5,0.788,4.3,2.7,1.1,0.4,2.1,18.2,2020-2021
Carsen Edwards,SG,G,24,1,36,8.71,1.6,3.5,0.459,0.5,1.9,0.289,0.3,0.4,0.778,0.9,0.4,0.2,0.0,0.2,4.1,2020-2021
CJ Elleby,SF,F,21,0,38,7.27,0.9,2.3,0.388,0.3,1.3,0.222,0.3,0.5,0.636,1.0,0.2,0.3,0.1,0.1,2.4,2020-2021
Henry Ellenson,PF,F,2,0,3,19.18,2.5,7.0,0.357,1.0,4.5,0.222,1.5,2.0,0.75,6.0,2.5,0.0,0.0,0.0,7.5,2020-2021
Wayne Ellington,SG,G,42,29,18,21.88,3.3,7.4,0.447,2.5,6.0,0.424,0.7,0.8,0.8,1.9,1.4,0.4,0.2,0.7,9.8,2020-2021
Joel Embiid,C,C,41,41,18,32.1,9.4,18.4,0.513,1.2,3.1,0.375,9.9,11.7,0.851,11.1,3.1,1.0,1.4,3.2,30.0,2020-2021
James Ennis,SF,F,39,35,20,24.28,2.9,6.1,0.475,1.1,2.6,0.436,1.7,2.1,0.815,4.1,1.5,0.8,0.2,0.9,8.6,2020-2021
Drew Eubanks,C,C,40,1,18,13.83,2.1,3.6,0.568,0.0,0.0,1.0,1.3,1.9,0.693,4.3,0.9,0.3,1.0,0.8,5.5,2020-2021
Dante Exum,SG,G,6,3,57,19.36,1.7,4.3,0.385,0.3,1.8,0.182,0.2,0.3,0.5,2.8,2.2,0.7,0.3,1.2,3.8,2020-2021
Tacko Fall,C,C,15,0,45,6.68,1.2,1.6,0.75,0.0,0.0,0.0,0.3,0.9,0.308,2.5,0.1,0.1,0.8,0.3,2.7,2020-2021
Derrick Favors,C,C,55,0,4,15.53,2.3,3.7,0.618,0.0,0.0,0.0,1.0,1.3,0.74,5.5,0.7,0.5,1.0,0.6,5.6,2020-2021
Cristiano Felicio,C,C,13,0,46,4.43,0.3,0.5,0.571,0.0,0.1,0.0,0.5,0.8,0.6,1.1,0.6,0.2,0.0,0.3,1.1,2020-2021
Terrance Ferguson,SG,G,13,0,32,3.79,0.1,0.5,0.143,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.2,0.1,0.0,0.3,0.2,2020-2021
Bruno Fernando,C,C,27,0,33,6.65,0.4,1.0,0.429,0.0,0.1,0.0,0.4,0.7,0.667,2.4,0.3,0.1,0.1,0.7,1.3,2020-2021
Yogi Ferrell,PG,G,3,0,2,20.2,3.3,9.0,0.37,1.3,4.0,0.333,1.0,1.7,0.6,2.3,4.0,1.3,0.3,1.0,9.0,2020-2021
Dorian Finney-Smith,PF,F,47,47,11,32.29,3.5,7.7,0.453,1.9,5.0,0.385,0.5,0.6,0.8,5.5,1.5,0.9,0.4,0.6,9.4,2020-2021
Malik Fitts,PF,F,3,0,3,3.61,0.3,1.0,0.333,0.3,0.7,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2020-2021
Malachi Flynn,PG,G,34,6,25,17.07,2.1,6.1,0.354,0.9,2.9,0.316,0.5,0.7,0.739,2.0,2.6,0.8,0.1,0.8,5.7,2020-2021
Bryn Forbes,SG,G,57,9,1,19.19,3.4,7.4,0.456,2.1,4.8,0.438,0.7,0.9,0.78,1.5,0.6,0.3,0.0,0.6,9.6,2020-2021
Trent Forrest,PG,G,18,0,41,5.97,0.4,1.1,0.4,0.0,0.2,0.0,0.1,0.1,1.0,0.4,1.1,0.2,0.1,0.4,1.0,2020-2021
Evan Fournier,SF,F,31,26,29,29.79,6.0,13.4,0.449,2.7,6.9,0.393,3.3,4.2,0.798,2.7,3.5,1.1,0.4,1.9,18.0,2020-2021
De'Aaron Fox,PG,G,58,58,1,35.11,9.1,19.1,0.477,1.8,5.5,0.322,5.2,7.2,0.719,3.5,7.2,1.5,0.5,3.0,25.2,2020-2021
Robert Franks,PF,F,5,0,1,13.19,1.2,3.0,0.4,0.6,2.0,0.3,1.4,1.6,0.875,1.8,0.6,0.2,0.6,0.4,4.4,2020-2021
Tim Frazier,PG,G,3,0,8,10.83,0.7,2.7,0.25,0.0,0.7,0.0,0.0,0.0,0.0,1.3,2.3,0.3,0.0,1.0,1.3,2020-2021
Markelle Fultz,PG,G,8,8,51,26.9,5.1,13.0,0.394,0.5,2.0,0.25,2.1,2.4,0.895,3.1,5.4,1.0,0.2,2.2,12.9,2020-2021
Wenyen Gabriel,PF,F,10,0,49,6.14,0.4,1.4,0.286,0.2,0.7,0.286,0.4,0.7,0.571,1.8,0.6,0.1,0.1,0.8,1.4,2020-2021
Daniel Gafford,PF,F,41,11,18,13.64,2.6,3.8,0.675,0.0,0.0,0.0,1.1,1.8,0.635,4.0,0.5,0.4,1.3,0.8,6.3,2020-2021
Danilo Gallinari,PF,F,40,4,20,23.92,4.0,9.5,0.426,2.2,5.3,0.408,3.2,3.4,0.935,4.1,1.4,0.6,0.2,1.0,13.5,2020-2021
Langston Galloway,SG,G,35,0,24,10.88,1.6,3.5,0.467,0.9,2.0,0.451,0.5,0.5,1.0,1.0,0.7,0.2,0.0,0.3,4.7,2020-2021
Darius Garland,PG,G,49,46,10,33.58,6.8,14.9,0.454,2.0,4.9,0.408,2.0,2.4,0.839,2.4,6.0,1.2,0.1,3.0,17.6,2020-2021
Marc Gasol,C,C,44,42,15,19.53,1.8,4.1,0.444,1.0,2.5,0.387,0.8,1.0,0.75,4.0,2.1,0.5,1.2,1.2,5.4,2020-2021
Rudy Gay,PF,F,51,0,7,21.69,4.1,9.8,0.413,1.6,4.2,0.375,1.3,1.6,0.805,4.9,1.5,0.7,0.6,1.0,11.0,2020-2021
Paul George,SF,F,46,46,16,33.65,8.5,17.8,0.479,3.3,7.6,0.429,3.7,4.2,0.891,6.5,5.4,1.2,0.5,3.3,24.0,2020-2021
Taj Gibson,PF,F,33,2,19,20.38,2.0,3.3,0.6,0.1,0.4,0.214,0.9,1.3,0.682,5.5,0.7,0.8,1.0,0.6,5.0,2020-2021
Harry Giles,C,C,30,0,29,10.28,1.1,2.5,0.427,0.2,0.5,0.467,0.5,0.7,0.682,3.9,0.8,0.2,0.3,0.6,2.9,2020-2021
Shai Gilgeous-Alexander,SG,G,35,35,25,33.7,8.2,16.1,0.508,2.0,4.9,0.418,5.3,6.5,0.808,4.7,5.9,0.8,0.7,3.0,23.7,2020-2021
Anthony Gill,PF,F,19,1,40,6.09,0.6,1.4,0.423,0.2,0.7,0.214,0.2,0.3,0.8,1.9,0.3,0.3,0.1,0.3,1.5,2020-2021
Freddie Gillespie,PF,F,7,0,0,17.47,2.6,4.1,0.621,0.0,0.0,0.0,1.0,1.1,0.875,4.0,0.6,0.6,1.4,0.4,6.1,2020-2021
Rudy Gobert,C,C,58,58,1,30.98,5.5,8.2,0.673,0.0,0.1,0.0,3.4,5.6,0.615,13.6,1.3,0.5,2.8,1.6,14.5,2020-2021
Brandon Goodwin,PG,G,41,3,19,12.72,1.8,4.6,0.396,0.7,2.1,0.341,0.6,1.0,0.667,1.4,1.9,0.3,0.0,0.7,5.0,2020-2021
Aaron Gordon,PF,F,39,39,20,28.53,4.9,10.5,0.462,1.4,3.9,0.355,2.2,3.4,0.654,6.1,3.6,0.7,0.7,2.2,13.4,2020-2021
Eric Gordon,SG,G,27,13,33,29.21,5.9,13.6,0.433,2.6,7.8,0.329,3.5,4.2,0.825,2.1,2.6,0.5,0.5,1.9,17.8,2020-2021
Devonte' Graham,PG,G,47,41,12,29.86,4.4,12.0,0.37,3.1,8.4,0.365,2.0,2.4,0.817,2.7,5.3,1.0,0.1,1.5,14.0,2020-2021
Jerami Grant,SF,F,51,51,9,34.18,7.5,17.3,0.43,2.2,6.2,0.357,5.4,6.3,0.854,4.6,2.9,0.7,1.1,2.0,22.5,2020-2021
Danny Green,SF,F,58,58,1,28.41,3.3,7.9,0.422,2.6,6.2,0.417,0.4,0.6,0.758,3.7,1.7,1.3,0.9,1.0,9.7,2020-2021
Draymond Green,PF,F,52,52,8,30.82,2.5,6.0,0.417,0.5,2.1,0.25,1.0,1.3,0.779,6.6,8.7,1.6,0.8,2.9,6.6,2020-2021
JaMychal Green,PF,F,46,4,13,18.62,3.0,6.4,0.466,1.4,3.4,0.404,0.8,1.0,0.844,4.9,0.8,0.5,0.4,0.9,8.2,2020-2021
Javonte Green,SG,G,31,2,29,12.2,1.3,2.5,0.513,0.2,0.7,0.304,0.7,1.0,0.688,1.9,0.4,0.6,0.1,0.5,3.5,2020-2021
Jeff Green,C,C,56,32,4,26.88,3.6,7.6,0.475,1.4,3.6,0.392,1.8,2.3,0.78,3.7,1.6,0.6,0.4,0.8,10.4,2020-2021
Josh Green,SG,G,28,5,30,10.15,0.9,2.1,0.433,0.1,0.6,0.118,0.3,0.5,0.6,1.9,0.5,0.2,0.1,0.5,2.2,2020-2021
Blake Griffin,PF,F,34,23,25,26.89,3.6,9.1,0.395,1.5,4.8,0.321,2.1,2.9,0.732,4.9,3.3,0.7,0.3,1.5,10.9,2020-2021
Kyle Guy,PG,G,22,0,37,6.93,1.0,2.6,0.379,0.5,1.5,0.312,0.5,0.5,0.833,1.0,0.9,0.2,0.0,0.2,2.9,2020-2021
Rui Hachimura,PF,F,47,47,12,31.75,5.2,11.2,0.467,0.8,2.5,0.316,2.3,3.0,0.759,5.7,1.5,0.8,0.1,1.3,13.5,2020-2021
Ashton Hagans,PG,G,2,0,24,2.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2020-2021
Tyrese Haliburton,PG,G,53,15,6,29.82,4.9,10.3,0.472,2.1,5.0,0.415,0.8,0.9,0.84,3.0,5.1,1.3,0.5,1.5,12.6,2020-2021
Donta Hall,PF,F,4,0,1,14.04,1.2,2.0,0.625,0.0,0.0,0.0,1.8,2.8,0.636,4.2,1.5,0.8,1.5,0.5,4.2,2020-2021
Josh Hall,SF,F,14,0,46,12.4,0.6,3.2,0.2,0.1,1.4,0.1,1.2,2.1,0.586,2.0,1.3,0.0,0.0,1.1,2.6,2020-2021
R.J. Hampton,PG,G,39,1,20,14.1,2.0,4.6,0.425,0.4,1.4,0.264,0.6,0.9,0.649,2.7,0.9,0.4,0.2,0.8,4.9,2020-2021
Tim Hardaway Jr.,SG,G,57,20,1,28.3,5.5,12.6,0.437,2.8,7.3,0.384,1.8,2.3,0.798,3.3,1.7,0.4,0.2,0.9,15.7,2020-2021
James Harden,PG,G,42,42,14,37.1,8.0,17.2,0.463,2.8,7.8,0.358,6.5,7.5,0.87,8.0,10.9,1.2,0.7,4.1,25.2,2020-2021
Maurice Harkless,PF,F,25,11,35,17.61,1.5,3.4,0.442,0.6,1.9,0.34,0.6,0.8,0.762,2.0,0.9,0.6,0.5,0.5,4.3,2020-2021
Jared Harper,PG,G,4,0,56,2.28,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.5,0.5,2020-2021
Montrezl Harrell,C,C,59,1,0,23.99,5.7,9.1,0.62,0.0,0.2,0.0,2.6,3.7,0.713,6.6,1.1,0.7,0.7,1.1,13.9,2020-2021
Gary Harris,SG,G,26,25,33,29.24,3.6,8.5,0.421,1.3,3.6,0.355,1.7,2.2,0.776,2.2,1.8,0.8,0.3,0.8,10.2,2020-2021
Jalen Harris,SG,G,4,0,55,3.53,0.2,1.0,0.25,0.2,0.5,0.5,0.0,0.0,0.0,0.8,0.5,0.2,0.0,0.2,0.8,2020-2021
Joe Harris,SF,F,60,56,0,30.84,5.3,10.3,0.515,3.2,6.6,0.483,0.8,1.0,0.776,3.6,1.9,0.7,0.2,0.8,14.5,2020-2021
Tobias Harris,PF,F,50,50,9,33.21,7.9,15.3,0.52,1.4,3.5,0.405,3.1,3.5,0.887,7.1,3.7,0.9,0.9,1.8,20.4,2020-2021
Shaquille Harrison,SG,G,21,0,18,5.17,0.6,1.5,0.375,0.0,0.1,0.0,0.3,0.3,0.857,0.6,0.5,0.3,0.0,0.3,1.4,2020-2021
Josh Hart,SF,F,47,4,12,28.71,3.2,7.3,0.439,1.3,4.1,0.326,1.5,1.9,0.775,8.0,2.3,0.8,0.3,1.1,9.2,2020-2021
Isaiah Hartenstein,C,C,43,2,16,12.09,2.0,3.6,0.571,0.0,0.1,0.4,1.0,1.6,0.638,4.1,1.1,0.4,0.9,0.9,5.2,2020-2021
Jaxson Hayes,C,C,47,3,12,14.81,2.5,3.7,0.659,0.1,0.1,0.429,1.3,1.7,0.759,3.9,0.6,0.4,0.5,0.7,6.3,2020-2021
Killian Hayes,PG,G,15,10,45,23.07,2.6,7.5,0.348,0.6,2.5,0.243,0.5,0.6,0.889,2.1,4.3,1.0,0.4,2.6,6.3,2020-2021
Gordon Hayward,SF,F,44,44,15,34.0,7.1,15.0,0.473,1.9,4.7,0.415,3.5,4.2,0.843,5.9,4.1,1.2,0.3,2.1,19.6,2020-2021
Juan Hernangomez,PF,F,41,6,19,16.6,2.4,5.4,0.441,1.0,3.0,0.322,1.1,1.7,0.662,3.9,0.6,0.4,0.1,0.5,6.9,2020-2021
Willy Hernangomez,C,C,35,2,24,15.89,2.8,5.1,0.553,0.0,0.3,0.111,1.0,1.6,0.643,6.4,0.9,0.3,0.5,0.5,6.7,2020-2021
Tyler Herro,SG,G,48,14,12,30.67,5.6,13.1,0.427,1.9,5.5,0.344,1.9,2.3,0.809,4.9,3.4,0.7,0.4,1.9,14.9,2020-2021
Buddy Hield,SG,G,58,58,1,34.32,5.7,14.1,0.404,4.0,10.4,0.385,1.2,1.5,0.837,4.5,3.1,0.8,0.4,1.7,16.6,2020-2021
George Hill,PG,G,17,15,42,25.31,4.1,7.9,0.515,1.4,3.5,0.4,1.3,1.6,0.786,2.1,2.8,0.7,0.3,0.9,10.8,2020-2021
Solomon Hill,PF,F,59,11,1,21.18,1.6,4.4,0.372,1.1,3.2,0.332,0.4,0.6,0.735,2.8,1.0,0.7,0.2,0.6,4.7,2020-2021
Nate Hinton,SG,G,14,0,44,3.41,0.6,1.4,0.4,0.1,0.4,0.167,0.3,0.4,0.667,0.4,0.3,0.3,0.1,0.3,1.5,2020-2021
Jaylen Hoard,SF,F,10,0,1,16.51,2.1,4.4,0.477,0.0,0.5,0.0,1.7,2.1,0.81,3.4,0.8,0.6,0.2,1.4,5.9,2020-2021
Aaron Holiday,PG,G,56,6,2,17.45,2.6,6.7,0.39,1.1,2.8,0.377,0.9,1.2,0.803,1.2,1.6,0.7,0.2,0.9,7.2,2020-2021
Jrue Holiday,PG,G,46,43,12,31.96,6.8,13.5,0.504,1.9,4.7,0.399,1.7,2.0,0.83,4.5,5.6,1.7,0.5,2.1,17.2,2020-2021
Justin Holiday,SG,G,58,48,0,31.1,3.6,8.9,0.403,2.4,6.4,0.369,0.9,1.2,0.779,3.6,1.6,1.2,0.4,0.8,10.4,2020-2021
Rondae Hollis-Jefferson,PF,F,4,1,5,14.38,1.0,2.5,0.4,0.0,0.2,0.0,2.0,3.0,0.667,3.0,1.8,0.2,0.5,0.5,4.0,2020-2021
Richaun Holmes,C,C,50,50,9,29.98,5.9,9.3,0.641,0.0,0.2,0.2,2.2,2.8,0.797,8.9,1.7,0.7,1.6,1.2,14.1,2020-2021
Rodney Hood,SF,F,48,5,11,18.41,1.9,5.1,0.364,0.7,2.2,0.306,0.4,0.5,0.826,1.9,1.1,0.4,0.1,0.7,4.8,2020-2021
Al Horford,C,C,28,28,32,27.92,5.8,12.9,0.45,2.0,5.4,0.368,0.6,0.8,0.818,6.7,3.4,0.9,0.9,1.0,14.2,2020-2021
Talen Horton-Tucker,SG,G,54,3,5,19.69,3.4,7.6,0.447,0.6,2.1,0.272,1.5,1.8,0.808,2.8,2.5,0.9,0.4,1.5,8.9,2020-2021
Danuel House,SF,F,32,21,28,27.01,3.2,7.8,0.407,1.6,4.4,0.359,1.2,1.8,0.661,3.8,1.8,0.6,0.4,0.9,9.1,2020-2021
